Organism	growthRate
alistipes putredinis	3-7
moraxella catarrhalis	1-2
mycoplasma californicum	1-2
methanolinea tarda	>14
actinomycetospora chiangmaiensis	10-14
syntrophomonas wolfei	3-7
lactobacillus murinus	1-2
actinomadura flavalba	10-14
corynebacterium matruchotii	10-14
alistipes finegoldii	1-2
streptococcus suis	1-2
dietzia cinnamea	10-14
thermocrispum agreste	10-14
fluoribacter bozemanae	1-2
geobacter bremensis	3-7
actinomadura oligospora	10-14
promicromonospora kroppenstedtii	10-14
pelotomaculum thermopropionicum	8-14
streptomyces griseochromogenes	10-14
parabacteroides johnsonii	1-2
listeria fleischmannii	1-2
leptospirillum sp.	3-7
pelosinus sp.	2-3
janibacter melonis	10-14
pasteurella pneumotropica	1-2
corynebacterium variabile	10-14
rhodococcus erythropolis	10-14
geobacter sp.	2-3
streptococcus constellatus	1-2
pandoraea vervacti	1-2
geobacter daltonii	3-7
bartonella doshiae	2-3
moraxella lacunata	1-2
enterococcus durans	1-2
acinetobacter pittii	1-2
syntrophobacter fumaroxidans	8-14
legionella rubrilucens	1-2
streptomyces pseudovenezuelae	10-14
granulicoccus phenolivorans	10-14
mycoplasma hyorhinis	1-2
mycobacterium bohemicum	10-14
mycoplasma feriruminatoris	1-2
celeribacter marinus	2-3
saccharomonospora glauca	10-14
leifsonia xyli	3-7
corynebacterium accolens	10-14
nitrosomonas europaea	>14
legionella gratiana	2-3
pasteurella multocida	1-2
veillonella dispar	1-2
saccharomonospora viridis	10-14
hamadaea tsunoensis	10-14
bordetella holmesii	2-3
actinobacillus succinogenes	1-2
mycobacterium austroafricanum	10-14
acinetobacter baumannii	1-2
bacteroides massiliensis	1-2
streptococcus salivarius	1-2
corynebacterium argentoratense	10-14
amycolatopsis balhimycina	10-14
lactobacillus acetotolerans	3-7
pelotomaculum sp.	>14
jonesia denitrificans	10-14
streptococcus sp.	1-2
methylophaga nitratireducenticrescens	3-7
megasphaera micronuciformis	2-3
saccharomonospora xinjiangensis	10-14
methanocella arvoryzae	8-14
streptobacillus hongkongensis	1-2
fusobacterium nucleatum	1-2
turicella otitidis	10-14
selenomonas sputigena	2-3
parabacteroides distasonis	1-2
legionella hackeliae	1-2
sulfurospirillum halorespirans	2-3
prevotella albensis	1-2
streptomyces mutomycini	10-14
streptomyces silaceus	10-14
mycobacterium thermoresistibile	10-14
octadecabacter temperatus	3-7
